CÓDIGO;COMPONENTE CURRICULAR;TURMA;HORARIO 1;HORARIO 2;HORARIO 3;PERÍODO;TIPO;DEPARTAMENTO;LOCAL;VAGAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6226;ENGENHARIA DE SOFTWARE;BC3;SEG - 16:00 as 18:00;QUA - 14:00 as 16:00;;4;;DEINFO;CEAGRI II - 2º andar - Sala 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14110;ESTÁGIO SUPERVISIONADO OBRIGATÓRIO I – BACH COMPUTAÇÃO;BC3;;;;7;;DEINFO;CEAGRI II - 2º andar - Sala 27;BCC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14111;ESTÁGIO SUPERVISIONADO OBRIGATÓRIO II – BACH COMPUTAÇÃO;BC3;;;;8;;DEINFO;CEAGRI II - 2º andar - Sala 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6243;ESTATÍSTICA EXPLORATÓRIA I;BC3;QUA - 16:00 as 18:00;SEX - 14:00 as 16:00;;3;;DEINFO;CEAGRI II - 2º andar - Sala 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6325;FÍSICA APLICADA À COMPUTAÇÃO;BC3;SEG - 16:00 as 18:00;QUA - 14:00 as 16:00;;3;;DF;CEAGRI II - 2º andar - Sala 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14046;GERÊNCIA DE PROJETOS;BC3;QUA - 16:00 as 18:00;SEX - 14:00 as 16:00;;9;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14010;GERENCIAMENTO DE REDES;BC3;SEG - 14:00 as 16:00;SEX - 16:00 as 18:00;;8;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14716;GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO;BC3;TER - 14:00 as 16:00;QUI - 16:00 as 18:00;;7;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14717;GESTÃO DE PROCESSOS DE NEGÓCIO ;BC3;TER - 16:00 as 18:00;QUI - 14:00 as 16:00;;7;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14074;INTELIGÊNCIA ARTIFICIAL;BC3;QUA - 16:00 as 18:00;SEX - 14:00 as 16:00;;5;;DEINFO;CEAGRI II - 2º andar - Sala 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14715;INTERNET DO FUTURO;BC3;SEG - 16:00 as 18:00;QUA - 14:00 as 16:00;;8;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14044;INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO;BC3;TER - 14:00 as 16:00;QUI - 16:00 as 18:00;;1;;DEINFO;CEAGRI II - 2º andar - Sala 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14117;INTRODUÇÃO À PROGRAMAÇÃO I;BC3;QUA - 16:00 as 18:00;SEX - 14:00 as 16:00;;1;;DEINFO;CEAGRI II - 2º andar - Sala 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14118;INTRODUÇÃO À PROGRAMAÇÃO II;BC3;QUA - 16:00 as 18:00;SEX - 14:00 as 16:00;;2;;DEINFO;CEAGRI II - 2º andar - Sala 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14203;MATEMÁTICA DISCRETA I;BC3;SEG - 14:00 as 16:00;SEX - 16:00 as 18:00;;1;;DEINFO;CEAGRI II - 2º andar - Sala 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14204;MATEMÁTICA DISCRETA II;BC3;SEG - 14:00 as 16:00;SEX - 16:00 as 18:00;;2;;DEINFO;CEAGRI II - 2º andar - Sala 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14112;METODOLOGIA CIENTÍFICA APLICADA À COMPUTAÇÃO;BC3;TER - 16:00 as 18:00;QUI - 14:00 as 16:00;;2;;DEINFO;CEAGRI II - 2º andar - Sala 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14319;METODOLOGIAS ÁGEIS DE DESENVOLVIMENTO DE SOFTWARE;BC3;QUA - 16:00 as 18:00;SEX - 14:00 as 16:00;;7;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14079;MÉTODOS FORMAIS;BC3;SEG - 14:00 as 16:00;SEX - 16:00 as 18:00;;7;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14722;MOTORES GRÁFICOS;BC3;TER - 16:00 as 18:00;QUI - 14:00 as 16:00;;6;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6252;PARADIGMAS DE PROGRAMAÇÃO;BC3;QUA - 16:00 as 18:00;SEX - 14:00 as 16:00;;4;;DEINFO;CEAGRI II - 2º andar - Sala 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14051;PROCESSAMENTO DE IMAGENS;BC3;SEG - 14:00 as 16:00;SEX - 16:00 as 18:00;;6;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14048;PROJETO DE CONCLUSÃO DE CURSO;BC3;QUA - 16:00 as 18:00;SEX - 14:00 as 16:00;;8;;DEINFO;CEAGRI II - 2º andar - Sala 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6251;PROJETO DE DESENVOLVIMENTO DE SOFTWARE;BC3;SEG - 16:00 as 18:00;QUA - 14:00 as 16:00;;5;;DEINFO;CEAGRI II - 2º andar - Sala 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14087;PROJETO E ANÁLISE DE ALGORITMOS;BC3;TER - 14:00 as 16:00;QUI - 16:00 as 18:00;;3;;DEINFO;CEAGRI II - 2º andar - Sala 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14058;REDES DE COMPUTADORES;BC3;TER- 14:00 as 16:00;QUI- 16:00 as 18:00;;4;;DEINFO;CEAGRI II - 2º andar - Sala 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14058;REDES DE COMPUTADORES;BC3;TER - 14:00 as 16:00;QUI - 16:00 as 18:00;;4;;DEINFO;CEAGRI II - 2º andar - Sala 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14076;SEGURANÇA DA INFORMAÇÃO;BC3;TER - 16:00 as 18:00;QUI - 14:00 as 16:00;;9;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14059;SISTEMAS DISTRIBUÍDOS;BC3;TER - 14:00 as 16:00;QUI - 16:00 as 18:00;;5;;DEINFO;CEAGRI II - 2º andar - Sala 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14724;SISTEMAS MULTIAGENTES;BC3;QUA - 16:00 as 18:00;SEX - 14:00 as 16:00;;6;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14065;SISTEMAS OPERACIONAIS;BC3;TER - 16:00 as 18:00;QUI - 14:00 as 16:00;;5;;DEINFO;CEAGRI II - 2º andar - Sala 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14013;TEORIA DA COMPUTABILIDADE;BC3;QUI- 08:00 as 12:00;;;8;OPTATIVA;DEINFO;SALA DO DEINFO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6223;TEORIA DE COMPUTAÇÃO;BC3;SEG - 14:00 as 16:00;SEX - 16:00 as 18:00;;3;;DEINFO;CEAGRI II - 2º andar - Sala 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6232;TEORIA DOS GRAFOS;BC3;SEG - 16:00 as 18:00;QUA - 14:00 as 16:00;;6;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14049;TRABALHO DE CONCLUSÃO DE CURSO;BC3;;;;9;;DEINFO;CEAGRI II - 2º andar - Sala 30;BCC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14117;INTRODUÇÃO À PROGRAMAÇÃO I;BC4;QUA - 16:00 as 18:00;SEX - 14:00 as 16:00;;1;EXTRA;DEINFO;CEAGRI-II  SALA 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14118;INTRODUÇÃO À PROGRAMAÇÃO II;BC4;QUA - 16:00 as 18:00;SEX - 14:00 as 16:00;;2;EXTRA;DEINFO;CEAGRI-II  SALA 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14203;MATEMÁTICA DISCRETA I;BC4;SEG - 14:00 as 16:00;SEX - 16:00 as 18:00;;1;EXTRA;DEINFO;CEAGRI-II  SALA 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4168;ADMINISTRAÇÃO E EMPREENDEDORISMO;EA1;SEG - 07:00 as 10:00;TER - 10:00 as 12:00;;9;;DADM;CEAGRI II - 2º andar - Sala 18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11114;ARMAZENAMENTO DE PRODUTOS AGRÍCOLAS;EA1;QUA - 10:00 as 12:00;QUI - 07:00 as 09:00;;9;;DTR;CEAGRI II - 2º andar - Sala 18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
